ATTBE,ATTEN,AUAGE,AUKEY,AUKNL,AUKNS,AUPIR,AUSAA,AUSAU,DISPO,EINHE,ETTBE,ETTEN,FGKEY,JTP,KEYLK,KEYLE,KEYLF,LUPDN,LUPDT,LUPDV,MENGE,ORTFR,ORTTO,STTBE,STTEN,UAZAK,UAZPL,XAU,ZINFO,DIB,PLKEY,AUDAT,AUABF,ATT20,RELFK,CINFO,FDAEN,FLAGS,MITAR,MAD,STLIK,PKART,PKL,PKLAS,PKLEA,PKNAM,PLE,EINH2,EINH3,EINH4,MENG2,MENG3,MENG4
1.2.2024 10:09 AM,,PTM,768087085,571281,571134,,75,,MAUSGEP,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,0,TRANS,,3641560467,,58,1.2.2024 10:09 AM,lvapps7;1704186567832,13,251B,T08,1.2.2024 9:36 AM,1.2.2024 9:46 AM,1,,1.2.2024 10:09 AM,,G,,1.2.2024 9:36 AM,,1.2.2024 2:52 AM,,7,,,,GH  ,,,,,,,,,,,,57,
1.2.2024 10:09 AM,,PTM,768087086,571281,571250,,75,,MAUSGEP,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,0,TRANS,,3641560467,,91,1.2.2024 10:09 AM,lvapps7;1704186567832,8,251B,T08,1.2.2024 9:36 AM,1.2.2024 9:46 AM,1,,1.2.2024 10:09 AM,,G,,1.2.2024 9:36 AM,,1.2.2024 2:52 AM,,8,,,,GH  ,,,,,,,,,,,,148,
1.2.2024 10:09 AM,,PTM,768087087,571281,571252,,75,,MAUSGEP,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,0,TRANS,,3641560467,,31,1.2.2024 10:09 AM,lvapps7;1704186567832,1,251B,T08,1.2.2024 9:36 AM,1.2.2024 9:46 AM,1,,1.2.2024 10:09 AM,,G,,1.2.2024 9:36 AM,,1.2.2024 2:52 AM,,8,,,,GH  ,,,,,,,,,,,,0,
1.2.2024 10:09 AM,,PTM,768087088,571281,571277,,75,,MAUSGEP,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,0,TRANS,,3641560467,,33,1.2.2024 10:09 AM,lvapps7;1704186567832,11,251B,T08,1.2.2024 9:36 AM,1.2.2024 9:46 AM,1,,1.2.2024 10:09 AM,,G,,1.2.2024 9:36 AM,,1.2.2024 2:52 AM,,7,,,,GH  ,,,,,,,,,,,,1,
1.2.2024 10:09 AM,,GMS,768087091,571281,571290,,75,,MAUSGEP,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,0,TRANS,,3641560467,,30,1.2.2024 10:09 AM,lvapps7;1704186567832,1,251B,T08,1.2.2024 9:36 AM,1.2.2024 9:46 AM,1,,1.2.2024 10:09 AM,,G,,1.2.2024 9:36 AM,,1.2.2024 2:52 AM,,7,,,,GH  ,,,,,,,,,,,,0,
1.2.2024 10:09 AM,,PTM,768087092,571281,571292,,75,,MAUSGEP,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,0,TRANS,,3641560467,,31,1.2.2024 10:09 AM,lvapps7;1704186567832,2,251B,T08,1.2.2024 9:36 AM,1.2.2024 9:46 AM,1,,1.2.2024 10:09 AM,,G,,1.2.2024 9:36 AM,,1.2.2024 2:52 AM,,7,,,,GH  ,,,,,,,,,,,,0,
1.2.2024 10:09 AM,,GMS,768087093,571281,571294,,75,,MAUSGEP,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,0,TRANS,,3641560467,,30,1.2.2024 10:09 AM,lvapps7;1704186567832,4,251B,T08,1.2.2024 9:36 AM,1.2.2024 9:46 AM,1,,1.2.2024 10:09 AM,,G,,1.2.2024 9:36 AM,,1.2.2024 2:52 AM,,7,,,,GH  ,,,,,,,,,,,,0,
1.2.2024 10:09 AM,,GMS,768087094,571281,571299,,75,,MAUSGEP,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,0,TRANS,,3641560467,,97,1.2.2024 10:09 AM,lvapps7;1704186567832,2,251B,T08,1.2.2024 9:36 AM,1.2.2024 9:46 AM,1,,1.2.2024 10:09 AM,,G,,1.2.2024 9:36 AM,,1.2.2024 2:52 AM,,7,,,,GH  ,,,,,,,,,,,,208,
1.2.2024 10:09 AM,,GMS,768087095,571281,571315,,75,,MAUSGEP,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,0,TRANS,,3641560467,,30,1.2.2024 10:09 AM,lvapps7;1704186567832,1,251B,T08,1.2.2024 9:36 AM,1.2.2024 9:46 AM,1,,1.2.2024 10:09 AM,,G,,1.2.2024 9:36 AM,,1.2.2024 2:52 AM,,7,,,,GH  ,,,,,,,,,,,,0,
,,STAT,768007856,571723,,,20,20,PND-ANK,BAG,1.2.2024 8:25 PM,1.2.2024 9:15 PM,,PNDAN,,3641349452,1148211417,7,1.2.2024,AU_GEN_UPD_MAUS,29,GS,CN,1.2.2024 8:17 PM,1.2.2024 9:02 PM,2,10,1.2.2024,,I,,1.2.2024 8:10 PM,,1.1.2024 6:29 PM,,LX 1110 20240102201000L,N,,S,,,T10,,,,,,BAG,,,10,,
